# 本表聲旁及轄字無重覆
# 少量轄字的聲化字的附屬字()標示
# 特殊情況用[]標示
𦥑	⺽䳔閰𦥑
噩	䫷噩櫮蘁讍鑩鱷
嚴	㘙䉷䕾䶫儼嚴壧孍巖(𡆑𥍛)巗曮欕玁礹讝釅麣
严	严俨酽
厳	厳巌𠑊
岩	㛧啱岩𣷰𤊤𤷳𥇷𩜠𩸶
囂	㺧䖀囂虈
嚣	嚣
囗	囗𨑕
囚	囚泅苬鮂𣭃
四	伵呬四怬柶泗牭訵駟驷
回	㻁䛛䤧佪回廻徊恛洄痐硘絗茴蛔迴鮰𤞑
囬	囬廽蜖逥
囘	囘𢌞
囟	㭡䛜䪿囟𡜧
細	細𦹀
细	细
因	㘻㧢㸶䂩䄄䍰咽因姻栶欭氤洇烟珚秵筃絪胭茵裀銦铟鞇駰骃𠗃𠡛𢙫𤶑𬘡
囙	㤙囙𤇆
[囪]	窗
囪	㘟囪
囱	囱
匆	匆匇
困	困悃捆梱涃睏硱稇綑裍閫阃齫𤞧𩒱
囷	㖥㻒䐃䠅囷棞碅稛箘菌蜠
麕	攟麕
麇	攈麇
固	䍛䓢䭅個(嗰)凅固堌婟崓崮棝涸痼祻稒箇錮锢鯝鲴𠴱𣎏𧶮
圂	㥵㨡㮯㯻圂慁溷𦞢
圉	㒁圉
國	嘓國幗慖摑槶漍爴簂膕蔮蟈𤎍𥊞𧰒𨫵𪅦
国	啯囯国帼掴椢腘蝈𬇹
圖	圖圗𪛇
图	图
図	図
土	㐋䲧吐土圡徒(𠻀𢟎𢲛𣘊𣺺𤸭𥱰𦪂)扗杜(荰𠴗𥮊𧹥𨁥𨧀𬭊)社(䀅)肚芏釷钍靯𡉿𢭰𤣰𤬪𩵚
圣	圣柽蛏
[圣]	䇈怪(𠶔𢯑)恠柽𠱅𢫞𣲾
圥	圥
在	在扗茬
圭	㙓㤬㪈㰪㾏䅅䖯䙵䞨䯓䳏䵷佳(龿)刲劸卦(啩掛(𦟺)罫褂𩳴)哇圭奊(䜁)奎(㛻㥣㨒䠑喹楏煃睳蝰鍷)娃(㥨)徍恚(㜇𠹤)挂晆桂(溎蓕𠺺𥉯)洼(䨟窪)烓珪畦眭砉(剨湱騞𬴃)硅窐窺筀絓罣(𢠪)胿茥蛙街袿觟詿诖跬(𠏠)邽銈閨闺鞋(嚡)鮭鲑黊(蘳)鼃𫓯
厓	厓啀堐娾崕崖(嘊漄)捱涯(𠽎𦹹)睚𠊎𣔦𧍊
圼	㖏㘿圼捏涅(篞𡮛𢟗𣻾𦄇)陧𣵀𦁻
[⿱白工]	𠵋𠽇𡐘𡥴
[⿱臼工]	揑湼隉𢝘
坐	㘴㛗㟇㭫䂳䟶䦟侳剉唑坐夎(蓌)座(蓙𨫈)挫痤睉矬脞莝(遳)趖銼锉髽
坒	㙄䏶䯗坒悂梐狴蜌陛(𠹯)
坤	坤
坴	㓐㛬䡜勎坴淕睦稑踛逵錴陸鯥鵱𩣱
陆	陆
垂	㩾㻔䅜䍋䮔䳠倕厜唾垂埀埵娷崜捶棰涶甀睡硾箠綞缍腄菙諈錘锤陲
垔	㖶㢾㮒㷑䃌䓰䗎䚈凐垔堙歅湮煙甄(籈薽)禋緸諲鄄闉陻黫𬤇𬮱
𠂤	㢂䏨垖桘頧鴭𠂤
垚	垚
埶	㙯勢埶摰暬槷槸熱(爇𢤢)蓺(囈藝襼讛𠑢)褹褻𦄌
[执1]	亵势热
執	㝪䉅䙝䠟䥍䲀執墊慹摯漐瓡縶蓻蟄褺謺贄騺鷙𠽃𡼈𢴇𣊎𣎖𣼳𤎒𥊝𨄴𩮿
[执2]	垫执挚絷蛰贽鸷
堂	㑽㙶䣘嘡坣堂憆摚樘漟瞠糛膛螳蹚鏜镗闛隚鞺饄鼞𡠠𤎌
堇	㝻㨷㹏䈽䌍僅勤(㢙懃懄𡀣𣝀𥵚)囏堇墐嫤廑慬斳槿歏殣漌瑾瘽菫蓳螼覲觐謹(𡄾𢥢𤄲)谨鄞饉馑騹
仅	仅
堯	㚁䁱䰫䴃䶧僥嘵堯墝嬈嶢憢撓曉(䥵)橈澆(𤄮)燒獟皢磽穘繞(𡅍𥽵𦇇)翹(𧄍)膮蕘蟯襓譊趬蹺(𨇵)遶鐃顤饒(𠑬𡆁𥍘𦈂𦣗𩰈𩽸)驍髐𠨪𡗉𡗊𢿣𣩦𥪯𧹅
尧	侥哓娆尧峣挠晓桡浇烧硗绕翘荛蛲跷铙饶
尭	尭暁焼𣓤𩜙
報	報蕔𠾷𢵨𤺴
报	报
[⿳宀⿻龷一八]	㥶塞(㩙僿噻簺𡑮𤀕)寨(㩟𩠵)賽(㘔)赛(㗷)
塵	塵薼
尘	尘
士	㐊仕士壭𢩿𤴶𥾘𪐢
仕	仕茌(𣖝)𠱊𢫟𣐴𤇧𤵴𥿥𨀋𨦁𪀆𪐾
壬	䏕壬妊紝纴衽飪饪
壯	䊋匨(㮜)壯壵奘娤梉焋莊(糚)裝銺𠨡𤶜𤽸𨡈𩈪
壮	壮荘装
庄	㽵庄桩粧脏賍賘赃𥅾𦀐
壴	壴
壺	㯛壺
壷	壷
壶	壶
壼	壸壼
壽	㦞㹗㿒䊭䌧䬞䮻䲖儔嚋壔壽夀嬦嶹幬懤擣檮濤燽燾璹瓙疇禱籌翿薵譸躊軇醻鑄隯魗
寿	㤽䓓俦寿帱梼涛焘畴祷筹(𡀤)诪踌鋳铸陦𢭏𫜷
夂	夂
夃	夃羖股
夅	䂫䇨䜶佭夅栙洚絳绛袶跭逄鿍𠲓
降	䧏降𤌅𩄐
[⿰章夅]	䤗竷
夆	㛔㶻㸼䀱䏺䴶埄夆峯(㷨樥溄鎽)峰捀桻浲烽琒綘胮舽艂莑蜂鋒锋韸髼𧧽
夊	䒘夊
夋	㕙㛖㻐䘒䝜䞭俊(䈗葰)唆埈夋峻悛捘晙朘梭浚焌狻畯痠皴睃稄竣羧脧荾誜賐踆逡酸鋑陖(𡍵)餕馂駿骏鮻鵔鵕黢𢓭𨌘𪊴
傻	傻儍𠿬
夌	㖫㥄㱥䈊䗀䬋䮚倰凌(蓤鿛)堎夌婈崚庱掕棱(𡼹)淩(蔆)睖碐祾稜(薐)綾绫菱裬踜輘錂陵(䉄䔖𠻱𢁋)鯪鲮𠦻𤊥𦝄(𣎞)𦡟𧤁𧤂𨉞𩜁𪘵
复	㙏㚆㬼䧗䪖䮡复復(㠅澓癁蕧覆(𢺁))愎椱稪緮腹蝮複輹鍑馥鰒鳆𩜲
夏	厦(𡐯)嗄夏夓廈榎𡏘𡟺𤧶𦷜
夐	夐敻瓊(𤓇)矎藑觼讂𢷳
夒	㹛夒巎獿
擾	擾𡅒
夔	䕫夔巙犪蘷虁躨𧅄
夕	㶤夕汐矽穸釸
夗	㠾㼝㽜䖤䛄䳃夗妴怨(葾)盌眢苑駌鴛鸳𢪸
夙	㑉夙洬珟
多	㗬㞔㡅㢁㶴䏧䡔䫂䬷䮈侈(㢋𠝓𣔢)卶哆垑多夛奓(䃎䋾䐒䵙偧)姼恀扅拸栘爹(嗲)痑眵茤蛥袲(㒅橠)袳誃趍(㿐)跢迻鉹陊黟𠀲𠫾𡗅𡗋𡥥𣃽𣴙𤿦𥒥𥶂𪐀
移	䔟熪移簃謻𠼪𢴐𣻗𧐹𨄼𨖨𪅨
夜	㖡㖱䘸䤳亱夜掖棭液(𦟸)焲腋鵺𤥿𥯊𦁹𦲹
大	㐲㞭䲦大忕戻(涙)杕汏軑轪釱馱驮𣧂
达	㳠哒垯挞荙跶达闼鞑鿎𫟼
太	㑀冭呔太夳忲态汰粏肽舦軚迏酞鈦钛駄𡛕𡳁𢪯𧘹
泰	㤗㥭傣泰溙𣳾𫂐
夨	夨捑
仄	㳁仄庂昃(𦝈)汄
天	䀖䗞䘉䚶兲天沗祆蚕
吞	㖔㧷㶺吞𧌀
夫	㝬㠸㫙䃿䄮䊿䡍伕呋夫妋巭扶(荴)枎玞畉砆肤芙蚨衭趺邞酜鈇颫鳺麩麸𫓧
夬	㭈㹟䀗䆕䊽䏐䦑䦼䫼决刔吷块夬妜快(筷𢭴𧋿)抉(䆢)決(𢭯)炔玦疦砄缺(蒛)芵蚗袂觖訣(𥊜)诀赽趹鈌駃鴂鴃𦑗𫘝
夭	㕭㤇䴠仸夭妖宎岆岙扷枖殀沃(鋈𠴎)祅秗穾芺(䄏)袄訞跃镺飫饫鴁
央	㹧㼜㿮䄃䇦䒋䬬䱀佒咉坱央姎岟怏抰映柍殃泱炴眏秧紻胦詇軮鉠雵鞅駚鴦鸯𦁾𧲱
盎	盎醠𣺻𤮃(𡂍)𧏱
夰	㚏夰奡(𣽀)昦
昊	昊淏
失	㲳䭿䰡䱃䳀佚劮呹失妷帙怢抶昳柣泆瓞眣祑秩(𠅼𠞠)紩翐胅苵蛈袟袠詄趃跌軼轶迭(𦂾𨕀)鉄铁镻鴩
夲	㤒䱁夲
夵	夵
夷	㯩㹫䄺䧅䨑䩟䮊侇咦夷姨峓恞挗桋洟痍眱羠胰荑(𠺹)蛦跠銕鮧鴺𢓡𣆰𣭯𦀊𧣧𨱾
夸	㡁㰭䠸侉刳咵垮夸姱恗挎晇桍洿瓠(摦槬)絝綔绔胯舿荂袴誇(𡀵)跨郀銙陓骻鮬鴮
夾	㛍㤲(㥷)㰰㼪㽠㾜(㿓瘞瘱)䀹䛟(䕛)䧪䩡䬊䵌䶝俠匧(㥦㰼愜篋陿)唊埉夾峽悏挾梜殎浹(𢲯)狹硖硤筴(擌)綊翜(㵤)聗脥莢蛺裌郟鋏陜頰鵊𥞵
夹	䇲侠(㮉)夹峡挟浃狭瘗荚蛱郏铗頬颊𨦇𬂩
[⿷匚夹]	惬箧
奄	㛪㞄㡋㤿㪑㭺㷈㽢䁆䄋䅖䎨䛳䣍䤶俺剦匎唵埯奄崦庵(蓭𠻒)掩晻殗淹痷硽罨腌菴裺醃閹阉餣馣鵪鹌黤𩸆
奇	㚡㞆㟢㢊㥓㨳㱦㾨㿲䄎䐀䓫䗁䛴䩭(羇)䫑(䫯)䭲倚(𦟑𧱺)剞埼奇婍寄(槣𥊘𦗞𨄾)崎徛掎攲敧旑旖(檹)椅欹渏犄猗(漪)琦畸碕綺绮裿觭踦躸輢錡锜陭騎(𫬷)骑鵸齮𠵇𤯱𥺿𬺈
竒	嵜竒﨑𢰤𤦺𥔎
奉	㷯䏾䩬䭰䳞俸(𠺭𣻈𩄴𩺨)唪埲奉捧棒(𠾴)淎琫菶蜯𡞗𢜗𣈖𤊡𤷰𧯵𩃳𩗴𩸮(𢺒)
奏	凑奏揍楱湊腠輳辏𠸫𡔿𤋷𥠬𥯪𧎝
奐	㪱㬇喚奐寏愌換渙烉煥瑍瘓
奂	㛟唤奂换涣焕痪
奔	倴喯奔捹渀逩錛锛餴鼖𥮈𧶭𨁼𩣺
奚	㜎㨙㰿䙎䫣䳶傒嗘奚嵠徯慀榽溪(㶉鸂𤐓)磎縘膎蒵螇謑谿豀豯貕蹊雞鞵騱鳮鷄鼷𡏛𥉐𥻺𫘬
鸡	鸡
奠	㞟㽀䥖奠橂磸𢵫
鄭	擲躑鄭𢤜
郑	掷踯郑
奤	奤
[奧]	㜩㠗䉛䐿䜒䴈噢墺嶴懊擙澳燠礇薁襖鐭隩鿫𩼈
奧	奧
奥	奥
奪	奪𡁯
夺	夺
奭	奭襫
奮	奮
奋	奋
贔	奰贔
赑	赑
女	㚢㣽女汝(㖳𠲤𢬨𨀾)籹肗邚釹钕𠯆𡛤𡝖𡢻𥫭𦬑(𠴑)𧴱𩚔
奴	㐐䋈伮努(𢭵)呶奴孥帑弩(𢮫)怒(𦵚)怓拏(𠸎𣸏𤸻)砮笯胬詉駑驽鴑𩛂
拿	㧱嗱拿鎿镎𠌧𢲡
奻	奻
好	䒵好恏薅(𧂭)𠲡
如	㖲㾒䘫侞如帤恕挐(蒘)桇洳筎絮(㵖蕠)茹(𣺾)袽銣铷鴽𤈟𥆃𦀌
妟	䳛妟宴(𠻈)
妥	㞂㟎㱣㼏䅑䧌俀哸妥娞挼(𥱮𩝺)桵浽綏(䕑)绥脮荽鋖鞖餒(𤃠𥷓𩟼)馁骽鮾鵎𢚶𧞥𨁡
妻	㼮䃀凄啛妻悽捿棲淒緀萋褄郪霋鶈𩸸
妾	䈉唼妾帹接椄淁翣菨踥霎鯜𢜡𤗈𨨧
委	㢻㣦(㞜)㮃㹻䅗䆧䍴䫋䬐䰀䴧倭唩委婑崣捼涹痿矮緌腇萎(𠾭)蜲覣諉诿踒躷逶錗餧
魏	䭳巍犩蘶魏𨇷
㟀	㟀
[老]	姥峔
姦	姦葌
威	㙎喴威媙崴揻楲縅葳蝛隇鰄𦞏
婁	㜢㪹㺏㻲䅹䝏䣚䫫䱾僂嘍塿婁屢(𡀿𤮒𦧃𧀓)屨嶁廔慺摟樓氀漊熡甊瘻瞜窶簍縷(𧃒)耬膢艛蔞(𣞾)螻褸謱貗軁遱鏤鞻髏鷜𤬏𩯁
娄	㥪䁖偻喽娄屡(𠎪)屦嵝搂楼溇瘘窭篓缕耧蒌(𦡢)蝼褛镂髅𡞱𡢐𥹰𦝼
數	擻數櫢籔藪𡂡𨯃𩖅𩪵𩽋
数	䉤擞数薮𥐈𥨧
婦	婦
妇	妇
嬰	䑍䙬䨉嚶嬰孆孾巊廮攖櫻瀴瓔癭纓蘡蠳鸚𨰃𪝼
婴	嘤婴撄樱璎瘿缨鹦
[⿱𭕄女]	䋝桜珱
嬲	嬲
嫐	嫐
[⿱吂䏎1]	嬴(㜲䃷䑉䕦攍瀛籝)贏(灜籯)赢
嬽	嬽
子	㜽㞨㺭䦻䰵仔吇子孖孜(㤵)杍矷秄籽耔芓虸釨𡥄𤜭
孑	孑
孓	孒孓
孔	吼孔
孕	㚺䱆孕𠱆𥩯𨀊
字	字牸茡
存	侟存拵栫洊珔臶荐(鞯)袸銌𠱜𢙨𣆱𤞐𤶐𦛊𧋃𨒸𨚲
孚	㟊㲗䞯䨗䱐䳕䴸俘哹垺娐孚孵捊桴殍浮烰琈稃筟粰綒罦脬艀莩(𠼼𦟵)蜉郛酻馟
孛	㛘㟑㪍(㴾)㫲㶿㹀䪬侼勃(愂渤葧𦂿)哱孛悖挬桲浡綍脖荸(𠍤)誖郣鋍餑饽馞鵓鹁𡋯𤶽𥹸𨁝𩓐𰬘
孝	㭳㹲䓔侾哮孝宯庨涍痚硣窙誟踍酵𤉗𤽴𫰪
孟	䁅䓝勐孟掹猛艋蜢錳锰鯭𠵼𢛴𤗖𤷪
季	㑧㳵㻑季悸痵鯚𡳜𢯗
孨	孨
孫	孫愻搎槂猻蓀遜(䕖)𣻆
孙	孙狲荪逊
孰	䃞塾孰熟
孱	㻵僝孱樼潺轏驏骣𢢁𢵔𦠳
孴	㵫孴
𦥯	㽇䁷䑁䮸嚳壆學(㙾㩭㰒㶅斅斆)嶨澩燢礐覺(攪灚𧅫)觷雤鱟鷽𠿟𦥯
[⿱𭕄冖]	喾学(敩)峃泶覚(撹)觉(搅)鲎鸴𬒈
斈	斈
宀	宀
宁	䍆䘢伫佇宁柠眝竚紵纻羜苎苧詝貯贮
它	㸰㼠㾃䍫䙾䡐䪑䬁䴱佗咜坨它岮拕柁沱砣紽舵(鿳鿸)蛇(㵃)袉詑跎迱酡鉈铊陀(𦱆)駝驼鮀鴕鸵鼧𧹟𬶍
守	䢘垨守狩酧𢬇𣑋
安	㫨䀂䅁䢿䯃侒咹垵姲安峖按案桉氨洝胺荌銨铵鞌鞍頞鮟鴳𩣑𩽾
宋	㧲䊉䫅俕宋
完	䯘䴷俒唍垸完捖晥梡浣烷琓皖睆筦綄羦脘莞輐鋎院鯇鲩鵍𧨎𬘫
宓	䀄(㵥)䁇宓淧
蜜	櫁藌蜜𦢉
宕	䦒宕菪趤雼
宗	䑸䝋倧婃孮宗崈徖悰棕(䉘)淙猔琮碂粽綜综腙萗誴賨賩踪錝騌骔鬃鯮𥟡
官	䗆䘾䠉䦡䩪倌婠官悹(䪀)悺捾棺涫琯痯管(䌣䲘鳤)綰绾舘菅輨逭錧館馆𠴨𣨭𩭵𩸘
定	㝎䘺䧑啶埞婝定掟椗淀琔碇綻绽聢腚萣蝊諚錠锭靛顁𠉵𦩘
宛	㱧䑱䗕䘼䛷䝹䡝䩊䩩䯛䵫倇剜啘埦婉宛帵惋惌捥晼椀涴焥琬畹睕碗箢綩腕菀蜿豌踠鋺鵷鹓黦𡮄𢏿𥺹
宜	㝖冝宐宜椬竩萓誼谊𠊙𠵌𡹠𢯕𣦍𣶺𦖑(𠐅)𩓧𪘲
宣	䙋䳦喧塇媗宣愃揎暄楦渲煊瑄睻碹箮縇翧萱蝖諠鍹鰚𤸧
室	㗌室榁腟鰘𩋡
宦	䆠宦
[宫]	㴦䃔熍
宫	宫
宮	宮
宰	㱰䏁䔂䮨宰梓滓縡𠹼𢟓𢲟𥻮
害	㪡㮫㲅割(𢵷𥢫)嗐害搳犗瞎磍縖螛豁轄辖鎋鶷
家	傢嫁家幏榢稼鎵镓𠺢𣺊
宷	宷
審	㔤㰂嬸審瀋覾讅𡂹𣠒𧺀𧺁
审	婶审
宩	㛽宩
容	㮤㼸䈶䡥傛塎嫆容嵱彮愹搈榕溶熔瑢穃蓉(㯴)褣鎔镕鰫𩘨𩘪𪃾
宿	㜚㝛㴼䈹䑿宿摍樎縮(𧃴)缩蓿蹜鏥
寅	㝙㪦夤(濥)寅戭殥演璌瞚縯蔩螾鏔𠻤𡫫𢴍𣘹𥳄𦟘𨄻𬙂
密	㑻㨸䈼䌏嘧宻密樒滵蔤鿹𦟽
峚	峚
寇	㓂䓻䳹冦宼寇滱窛簆蔲蔻
寍	寍
㝕	㝕
寒	㒏㩃寒𢢈
[⿳宀⿻龷一八2]	㥶䗙䞿寋弿搴(藆)褰(攐)謇蹇(䙭䮿攓瀽鑳)騫(㩷)骞鶱𬸣
寡	寡
寣	寣
實	㺙實
实	实
実	実
寧	㣷㲰䗿䭢儜嚀嬣寕寧懧擰檸濘獰矃聹薴鑏鬡鸋𡨴𤘓𤾱𦅜𦆭𦡲𧭈𧰗𩕳
[宁]	䘢咛坾宁拧柠泞狞眝聍苧𨀉
甯	䔭寗橣澝甯𤀑
寸	刌吋寸忖村(𠴘𢚳𦀹𦛻)衬𢩭
寺	㫭㭙䓁䝰䦙侍(㣥)寺峙庤恃歭洔畤痔(𣙦)秲詩(𡮲)诗跱邿鼭𪀔
待	偫崻待𠸤𢱜𣹘𤋵𦃀𦞒𧛶𨃉
持	持𣖖𥻣𨃌𨨲𩹭
寽	㭩㲕㸹㽟䟹䮑哷埒寽捋浖脟蛶酹鋝锊頱
封	㜂㨍䋽堼封崶幇幫湗犎篈葑鞤
尃	㗘㙛㬍䍸䎔䗚䙏䪙䰊䶈傅博(簙𣽡)圑尃愽搏榑溥(簿薄(䭦欂礴))煿牔猼禣糐縛(嚩)缚膊蒪(䥬䪇礡鑮)賻赙鎛镈餺馎髆𨍭
旉	旉
敷	㩤懯敷璷
射	㓔㴬塮射榭謝谢麝
䠳	䠳
䠶	䠶
將	㢡㯍䉃䊢䒂䵁䵼墏奬將嶈摪槳漿獎蔣螿蹡醬鏘鱂𡁷
将	奨将蒋螀醤锵鳉𨪙
[⿰丬夕]	奖桨浆酱
專	䁣䊜䧠傳(𡀯𧓆)剸團(㩛檲糰)塼嫥専專慱摶暷槫漙瑼甎磚竱篿縳膞蓴轉(囀)鄟鏄鱄鷒
专	䌸䏝专传抟砖转(啭)
团	团
尉	㷉䲁叞墛尉嶎慰(藯)熨犚罻蔚螱褽霨鳚𣻷
尊	䔿僔噂墫壿尊嶟撙樽澊燇竴繜罇譐蹲遵鐏鱒鳟鷷𣞊𨱔
尋	㜦㝷䫮噚尋憳撏攳樳潯燖璕蕁蟳襑鄩鱘𢿼𦅛
寻	㖊寻挦桪浔荨鲟𫊻𬊈𬍤𬩽
尌	尌樹澍
廚	幮廚櫥躕
㕑	櫉𨆼
厨	㡡厨橱蟵蹰𧒉
树	树
對	㠚㦠㬣䨴嚉對懟濧薱襨譵轛鑆𢷮𣌒𣝉𤻫𦆹𨆷𨘗𩟡𩼷𩼸
对	㳔对怼
対	対𠲝𢇉𢙪𢬭𣋇𧻐𨒻𩛜
小	㕾㭂䒕仦小毜釥𠃝𥾗
尐	尐
少	㠺䏚䒚䖢䟞䯯仯吵妙(𠴕𢭼𨁭)少抄(莏𠳕)杪炒玅眇(渺篎緲缈𥻠𦳥𪃧)秒粆紗(䔋)纱耖觘訬鈔钞麨𡂌𣲦𨈘
尔	䟢你(您)妳尓尔弥(猕)沵狝玺祢迩鉨鿟鿭𢘝𥅘𨤰(𥜡)
尒	㚷䇣伱尒苶鉩
尖	尖𢬅𣑷𥭍
尗	㑐䦊尗敊茮鮛
尚	㫾㭻㲂䊑䟫䠀䣊倘(𣦛)埫尙尚徜惝淌瓽甞緔绱耥裳趟(𢸋)躺鋿鞝𠶤𣎃𣦎𥊢𥊣
嘗	嘗嚐鱨
尝	偿尝鲿
黨	㿩䣣儻戃攩曭欓灙爣矘讜钂黨
党	傥党谠鎲镋𣗋𣺼
掌	幥掌撑礃罉鐣𣛟𥋇𦪦𩇢
棠	㒉䉎棠橖鏿饓
常	㦂嫦常瑺蟐鏛𣙟
賞	償賞贘鑜
赏	赏
牚	撐橕牚𦉘𨅝
尞	㙩㞠䜍䝤䨅䩍䭜僚(𡒭)嘹嫽寮(屪曢藔𠐟𠠙𤖡)尞嶚(𨇉)嶛憭撩(𡃔)暸橑(䕩)潦燎爒獠璙療瞭竂簝繚缭膫蟟蹽轑遼(𤃜)鐐镣镽飉鷯鹩𦼔𧄈𩻻
尟	尟
赻	赻
尢	尢
尣	尣
尤	㕱㚭优尤忧扰沋犹(莸)疣紌肬蚘訧駀魷鱿𣏞𦬓
尨	㟌㤶䏵䵨厖哤娏(䓼)尨浝(㙙㴳)牻狵痝硥蛖駹
就	㠇㩆僦噈就憱殧蹴蹵鷲鹫
尸	㕧㞒䐅䲩尸屃屍屎屓屭杘迉鳲鸤
尹	䪳伊吚尹笋芛
尺	㘮䋇伬呎尺択沢蚇訳迟釈鈬駅𡵸𥐮
尼	㞾䘦䛏䝚䲿伲呢坭妮尼屔怩抳旎昵柅泥(埿)狔痆眤秜胒苨蚭跜迡(𠸽𣖗)鈮铌馜𠉞𢓚𥬩𥿡
尾	㞑䅏䇻䊊䜸䞔䬿娓尾屗捤梶(𣛢)浘艉荱𠉜(𠎴)𠳿𡲤𡲫𡳎𡳒𡳩𢽙𣍁𤽶𥒮𥖑𥜀𦀿𦅴𦘧𧋦𧚟𨁱𨘘𨤔𩷳
䰁	䰁
尿	㞙㳮尿脲
局	䎤䏱侷局挶梮焗跼鋦锔駶𤶹𥐏𩓛𩠧𪁵
居	䅕䋧䛯䝻䱟䵕倨剧啹婮居崌据椐涺琚腒艍蜛裾踞鋸(𢤹)锯鶋𡍄𩤅
屈	㭾㻕䓛䘿䞷䠇倔啒堀屈崛崫掘淈煀窟(㵠𦡆)誳镼鶌𡲬𤟎𥇣
屋	䌂䠎偓剭喔媉屋幄握楃渥箼腛齷龌𡳽𦢡𦢢𧎜𨵱𩠭
屑	㣯㨝㴮屑榍碿糏
展	㜊㞡䱼展搌榐碾蹍輾辗𣺹𥉲𦟌𨃨𨫀𩥇
屖	屖搱稺謘遟
屚	屚漏瘺
屠	䠧䣝屠廜潳鷵
履	履
屬	䌵䙱䠱劚囑孎屬斸曯欘灟爥矚蠾钃
属	㔉嘱属瞩
屮	屮
屯	㹠㼊䓐䣩伅吨囤(𥇈)坉宒屯庉忳扽旽旾杶沌炖瓲盹砘窀純(蒓𢲝)纯(莼)肫芚訰豘軘迍(𣔝𦝊)邨鈍(𡚃𢵶)钝霕頓(噸𦡋)顿飩饨魨鲀黗𡭻𡶁𤵊𥂉𥫱𦟒𧉙𧘸𧿬𩂄
屰	㡿(㴑蝷)屰𠱘
逆	磀縌逆𠸺𡏤𪄧
山	㢫䴮圸奾山屾旵氙汕灿疝秈籼舢訕讪赸軕辿邖𠮿𢇢𤜬𦘹𨥉
岑	㖗䤫䫈侺埁岑梣涔硶𪁏
㞤	㞤
㞥	㞥
岡	㟠剛堈岡崗掆棡焵犅碙綱罁鋼𣷣
冈	㧏㭎冈刚岗纲钢
罡	㓻㟵䌉堽罡鎠
岳	岳捳𥇸𩓥
崇	㓽崇崈漴𠼾𢠄𣙩𥊠𧐿𨅃
崔	㜠䜅催(𡀰𨮑)凗嗺墔崔嶉嶊慛摧槯(𢋬𣝤𥶮)漼熣獕璀皠磪繀膗鏙
崩	䙖䣙傰剻嘣塴崩漰磞繃蹦鏰镚
嵒	嵒癌
碞	碞
嵩	嵩𡀢𢣆
巂	㔒㽯䪎䭨儶孈巂攜欈瓗纗蠵觿讗酅鑴雟驨
嶲	㒞㼇䥴嶲觽𢹂
携	㩗携
巜	巜
川	㸪䡅圳巛川巡廵杊汌玔紃訓(瞓)训釧钏順頻顺馴驯𬘓
州	㖄喌州栦洲絒詶酬銂駲𧋀𪣏
巠	䀴䞓䣆䪫俓剄勁(葝𤠃)坕坙娙巠弳徑挳桱殌氫涇烴牼痙硜經羥脛(𣻽)莖蛵誙踁輕(鑋𢷰𧸰𨆪)逕鋞陘頸鵛𠗊𠲮
[⿱ス工]	刭劲弪径氢泾烃痉硁经羟胫茎轻迳陉颈𣐕𫰛
[圣2]	経軽頚𦙾𫞬
巢	㑿㺐䜈䟁䲃剿勦巢摷樔漅(薻)璅窼繅缫罺轈鄛𠻥𥊌
巣	巣
巤	㯿㲱㼃䁽䃳䉭䜲䝓䪉儠巤擸爉犣獵(𧄵)臘(𢺎𥸆𧅕)蠟躐邋鑞镴鬣鱲𧀨(𢺍)𫚭
工	㓚㣉䉺䜫䞑䪦䫹䲨仜冮功(昮糼)卭(笻)叿妅屸工扛攻杠汞(㶹觨銾)灴玒瓨疘矼紅(葒𠸣𢞃𣖘)红(荭)缸羾肛舡虹(渱)訌讧豇邛(㧭桏筇)釭項(䁰澒𠾿)项魟𣒳𦏺𫚉
江	江茳鴻鸿𢏠𢬥𣑴𥆀𥬮𨀹
左	㝾䦈佐咗左袏𣳇
巨	䢹䣰䶙乬佢姖岠巨巪弡怇拒昛柜歫炬矩(榘)秬粔耟苣蚷螶衐詎讵距鉅钜駏鮔𠰠𡗐𢀥𢀦𢀬𢀭𢀮𢀲𣙬𥑭
洰	洰菃
巩	㧬㮪㺬㼦䂬䅃䊄䡗巩恐(𠺱)蛩跫銎鞏
巫	巫莁誣诬鵐鹀
差	㞉㷢㽨㿷䁟䐤䑘䟀䡨䰈䱹䴾傞嗟嫅嵯嵳差搓暛槎溠瑳瘥磋(䕢)縒艖蒫褨蹉醝鎈髊鮺鲝鹺鹾齹𡏦𡗂𦟎
己	㞯㽶䄫䪱圮妀妃屺(䒻)己忋杞玘紀纪芑記(䓽𣉸𥱬)记起(𠺬𤠳)邔魢鱾𣅗𥫟
忌	䋟忌梞誋跽鵋𠲹𡜱𣇡𧋷
改	改𠳚𢚲𢭮𣒵𦀻𦰦
巳	㰝㱼䇃圯巳异戺攺汜祀釲𡵆𣏌𦬊
巸	媐巸
熙	㜯熙𠘕𤏁
已	已𠖰𠯇𡉏𢩽𤣱𥐦
巴	㞎㿬䯲䶕吧夿妑岜巴帊弝把(筢𠴙𥖖𥺕𨁩)杷爬爸琶(潖)疤皅(葩(𡀥))笆粑紦耙舥芭(𢯓)蚆豝跁鈀钯靶鿱𠀧(𡝕)𠄧𠇕𠌊𢁍𢽼𣀟𤆵𥸿𧤭𧥔𩨜
卮	卮栀
巵	㛂㯄巵梔
卺	卺
巹	巹
